,Distrito,Area,Densidad,Poblacion,0-15,16-64,+65,% 0-15,% 16-64,% +65,Española,Extranjera,% Española,% Extranjera,Nacimientos,Defunciones,Crecimiento,Precio m2
0,Centro,523,270,141236,10608,108667,21961,8%,77%,16%,104726,36509,74%,26%,863,1252,-389,4865
1,Arganzuela,646,239,154243,18571,105078,30594,12%,68%,20%,137604,16637,89%,11%,1142,1764,-622,3888
2,Retiro,546,217,118557,14443,73037,31077,12%,62%,26%,108277,10279,91%,9%,801,1627,-826,4502
3,Salamanca,539,271,146016,16147,95122,34747,11%,65%,24%,124068,21948,85%,15%,1150,1937,-787,5740
4,Chamartín,917,161,145700,19913,91663,34124,14%,63%,23%,130641,15059,90%,10%,1305,1899,-594,4999
5,Tetuán,537,297,159849,18293,111262,30294,11%,70%,19%,127202,32647,80%,20%,1353,1984,-631,3649
6,Chamberí,467,296,138667,14767,90307,33593,11%,65%,24%,121264,17403,87%,13%,1076,1785,-709,5283
7,Moncloa-Aravaca,4654,26,120834,17036,77360,26438,14%,64%,22%,106834,14000,88%,12%,936,1485,-549,3912
8,Carabanchel,1405,184,258633,36742,173880,48011,14%,67%,19%,202322,56311,78%,22%,1906,3057,-1151,2165
9,Usera,778,183,142454,21188,97802,23464,15%,69%,16%,107442,35010,75%,25%,1124,1554,-430,1942
10,Puente de Vallecas,1496,160,239057,32422,164930,41705,14%,69%,17%,190004,49051,79%,21%,1960,2779,-819,1887
11,Moratalaz,610,154,93810,10702,58667,24441,11%,63%,26%,83780,10030,89%,11%,586,1391,-805,2569
12,Ciudad Lineal,1143,190,216818,26603,140979,49236,12%,65%,23%,182762,34054,84%,16%,1491,2744,-1253,2912
